Longitude, Latitude
105.8005447, 21.0115565
105.8005447, 21.0115565
105.8004659, 21.0114897
105.8003199, 21.011366
105.8000687, 21.0111462
105.7997865, 21.0108967
105.7996054, 21.0107336
105.799472, 21.0106172
105.799418, 21.0105702
105.799418, 21.0105702
105.799323, 21.0104949
105.799323, 21.0104949
105.7994713, 21.0103446
105.7994713, 21.0103446
105.7995739, 21.0102455
105.7996898, 21.0101336
105.7996898, 21.0101336
105.8000993, 21.0097334
105.8002332, 21.0096
105.8002332, 21.0096
105.8003747, 21.0094597
105.8012857, 21.0085681
105.8014435, 21.0084068
105.8014435, 21.0084068
105.8013649, 21.008335
105.8008102, 21.007828
105.8000562, 21.007198
105.7999489, 21.0071095
105.7999489, 21.0071095
105.7998592, 21.0070433
105.7994212, 21.0067271
105.7989419, 21.0063702
